GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
226,54,30.9,10,41,11.5,WSW,30.02,0,-9999,Mostly Cloudy,0,0,-999,-9999
264,88,64,8,45,0,North,30.1,0,-9999,Scattered Clouds,0,0,-999,89.3
294,66.9,45,10,45,17.3,WNW,30.01,0,-9999,Clear,0,0,-999,-9999
331,78.1,55.9,10,46,10.4,SW,30.12,0,-9999,Mostly Cloudy,0,0,-999,-9999
364,55.9,24.1,10,29,4.6,West,30.35,0,-9999,Clear,0,0,-999,-9999
371,50,45,10,83,0,North,30.33,0,-9999,Clear,0,0,-999,-9999
409,52,27,10,38,8.1,ESE,30.25,0,-9999,Clear,0,0,-999,-9999
479,30.9,18,10,59,6.9,NNW,30.29,0,-9999,Clear,0,0,24.3,-9999
511,71.1,55.9,10,59,5.8,East,30.19,0,-9999,Clear,0,0,-999,-9999
556,69.1,55,10,61,10.4,ENE,30.17,0,-9999,Overcast,0,0,-999,-9999
564,80.1,42.1,10,26,3.5,Variable,30.11,0,-9999,Clear,0,0,-999,-9999
620,68,48,10,49,12.7,SSW,30.13,0,-9999,Clear,0,0,-999,-9999
629,66.9,60.1,10,79,0,North,30.26,0,-9999,Overcast,0,0,-999,-9999
647,72,50,10,46,11.5,SSE,29.93,0,-9999,Overcast,0,0,-999,-9999
689,62.6,55.4,10,77,0,North,30.18,0,-9999,Light Rain,1,0,-999,-9999
752,72,70,10,93,3.5,South,29.83,0,0.01,Scattered Clouds,0,0,-999,-9999
774,72,64.9,10,78,3.5,ESE,29.85,0,0,Light Rain,1,0,-999,-9999
799,73.9,62.1,10,66,5.8,South,30.16,0,-9999,Mostly Cloudy,0,0,-999,-9999
851,55,44.1,10,67,10.4,NNW,30.03,0,-9999,Clear,0,0,-999,-9999
870,64,43,10,46,11.5,NE,30.3,0,-9999,Mostly Cloudy,0,0,-999,-9999
897,39,35.1,10,86,0,North,30.38,0,-9999,Clear,0,0,-999,-9999
931,57.9,55.9,6,93,4.6,SE,29.92,0,0.02,Light Rain,1,0,-999,-9999
978,79,66,10,64,5.8,East,30.12,0,-9999,Mostly Cloudy,0,0,-999,-9999
1022,62.1,57.9,10,86,0,North,30.06,0,-9999,Clear,0,0,-999,-9999
1037,62.1,50,10,65,0,North,29.94,0,-9999,Clear,0,0,-999,-9999
